Open,High,Low,Close,Volume,Datetime,Tarih,Saat
325.75,325.75,325.75,325.75,121559.0,2026-07-01 09:55:00+03:00,2026-07-01,09:55:00
325.5,326.0,324.75,324.75,892050.0,2026-07-01 10:00:00+03:00,2026-07-01,10:00:00
324.75,325.25,323.0,324.5,2655699.0,2026-07-01 10:05:00+03:00,2026-07-01,10:05:00
324.5,325.0,324.25,324.75,777437.0,2026-07-01 10:10:00+03:00,2026-07-01,10:10:00
324.75,325.5,324.5,325.25,842897.0,2026-07-01 10:15:00+03:00,2026-07-01,10:15:00
325.25,327.25,325.25,327.0,1877799.0,2026-07-01 10:20:00+03:00,2026-07-01,10:20:00
326.75,328.75,326.5,328.0,1835618.0,2026-07-01 10:25:00+03:00,2026-07-01,10:25:00
327.75,328.25,326.5,326.75,1290522.0,2026-07-01 10:30:00+03:00,2026-07-01,10:30:00
326.75,327.75,326.75,327.5,555257.0,2026-07-01 10:35:00+03:00,2026-07-01,10:35:00
327.5,327.75,327.25,327.75,243564.0,2026-07-01 10:40:00+03:00,2026-07-01,10:40:00
327.75,328.0,327.25,327.75,1390257.0,2026-07-01 10:45:00+03:00,2026-07-01,10:45:00
327.5,329.5,327.5,329.25,1671188.0,2026-07-01 10:50:00+03:00,2026-07-01,10:50:00
329.5,331.0,329.25,330.5,2448225.0,2026-07-01 10:55:00+03:00,2026-07-01,10:55:00
330.25,330.5,329.75,329.75,681217.0,2026-07-01 11:00:00+03:00,2026-07-01,11:00:00
329.75,330.75,329.75,330.25,1001840.0,2026-07-01 11:05:00+03:00,2026-07-01,11:05:00
330.0,330.75,330.0,330.75,196203.0,2026-07-01 11:10:00+03:00,2026-07-01,11:10:00
330.75,330.75,329.75,330.0,433415.0,2026-07-01 11:15:00+03:00,2026-07-01,11:15:00
330.0,330.5,329.75,330.0,411937.0,2026-07-01 11:20:00+03:00,2026-07-01,11:20:00
330.0,330.0,329.0,329.0,654363.0,2026-07-01 11:25:00+03:00,2026-07-01,11:25:00
329.0,329.25,328.75,329.0,307906.0,2026-07-01 11:30:00+03:00,2026-07-01,11:30:00
329.0,329.5,328.75,329.0,189697.0,2026-07-01 11:35:00+03:00,2026-07-01,11:35:00
329.0,329.5,328.75,329.0,313717.0,2026-07-01 11:40:00+03:00,2026-07-01,11:40:00
329.0,329.25,328.5,328.5,518402.0,2026-07-01 11:45:00+03:00,2026-07-01,11:45:00
328.5,329.0,328.25,329.0,254996.0,2026-07-01 11:50:00+03:00,2026-07-01,11:50:00
328.75,329.0,328.5,329.0,86124.0,2026-07-01 11:55:00+03:00,2026-07-01,11:55:00
329.0,329.0,328.5,328.5,167178.0,2026-07-01 12:00:00+03:00,2026-07-01,12:00:00
