ticker,name,city
ATATR,ATA TURİZM İŞLETMECİLİK TAŞIMACILIK MADENCİLİK KUYUMCULUK SANAYİ VE DIŞ TİCARET A.Ş.,İSTANBUL
ATAVK,ATA VARLIK KİRALAMA A.Ş.,İSTANBUL
ATA,ATA YATIRIM MENKUL KIYMETLER A.Ş.,İSTANBUL
ATAYM,ATA YATIRIM MENKUL KIYMETLER A.Ş.,İSTANBUL
ATAKP,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA
ATLFA,ATILIM FAKTORİNG A.Ş.,İSTANBUL
ATSYH,ATLANTİS YATIRIM HOLDİNG A.Ş.,İSTANBUL
ATLAS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
ATATP,ATP YAZILIM VE TEKNOLOJİ A.Ş.,İSTANBUL
AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,İZMİR
AVGYO,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AVTUR,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,İSTANBUL
AVHOL,AVRUPA YATIRIM HOLDİNG A.Ş.,İSTANBUL
AVPGY,AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
AYDEM,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,DENİZLİ
AYEN,AYEN ENERJİ A.Ş.,ANKARA
AYES,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,İSTANBUL
AYGAZ,AYGAZ A.Ş.,İSTANBUL
AZTEK,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,İSTANBUL
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
ACP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
A1YEN,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,İSTANBUL
BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,İSTANBUL
BAHKM,BAHADIR KİMYA SANAYİ VE TİCARET A.Ş.,KIRIKKALE
BAKAB,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR
BALAT,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,İZMİR
BALSU,BALSU GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL
BNTAS,BANTAŞ BANDIRMA AMBALAJ SANAYİ VE TİCARET A.Ş.,BALIKESİR
BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş.,BALIKESİR
BARMA,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR
BASGZ,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ANKARA
